State,State_abbrev,Year,Beer (Per capita consumption),Wine (Per capita consumption),Spirits (Per capita consumption),All beverages (Per capita consumption)
Alaska,AK,2010,1.23,0.55,1.25,3.03
Alaska,AK,2009,1.32,0.54,1.16,3.02
Alaska,AK,2008,1.2,0.49,1.09,2.78
Alaska,AK,2007,1.13,0.44,0.96,2.53
Alaska,AK,2006,1.25,0.47,1.03,2.75
Alaska,AK,2005,1.23,0.43,0.98,2.64
Alaska,AK,2004,1.31,0.44,0.95,2.71
Alaska,AK,2003,1.27,0.37,0.79,2.43
Alaska,AK,2002,1.35,0.45,1.19,2.99
Alaska,AK,2001,1.32,0.38,0.96,2.67
Alaska,AK,2000,1.37,0.37,0.94,2.68
Alaska,AK,1999,1.4,0.38,0.95,2.74
Alaska,AK,1998,1.39,0.37,0.95,2.71
Alaska,AK,1997,1.31,0.36,0.88,2.56
Alaska,AK,1996,1.31,0.38,0.94,2.63
Alaska,AK,1995,1.45,0.39,1.02,2.86
Alaska,AK,1994,1.53,0.4,1.1,3.03
Alaska,AK,1993,1.31,0.32,0.92,2.55
Alaska,AK,1992,1.53,0.41,1.08,3.02
Alaska,AK,1991,1.54,0.43,1.14,3.11
Alaska,AK,1990,1.62,0.46,1.25,3.33
Alaska,AK,1989,1.52,0.44,1.19,3.15
Alaska,AK,1988,1.54,0.47,1.19,3.21
Alaska,AK,1987,1.6,0.52,1.26,3.38
Alaska,AK,1986,1.65,0.55,1.25,3.45
Alaska,AK,1985,1.63,0.56,1.48,3.68
Alaska,AK,1984,1.67,0.56,1.5,3.72
Alaska,AK,1983,1.71,0.59,1.65,3.95
Alaska,AK,1982,1.69,0.54,1.68,3.92
Alaska,AK,1981,1.68,0.56,1.79,4.02
Alaska,AK,1980,1.54,0.5,1.68,3.72
Alaska,AK,1979,1.48,0.46,1.63,3.58
Alaska,AK,1978,1.39,0.45,1.67,3.51
Alaska,AK,1977,1.19,0.42,1.69,3.3
Arizona,AZ,2016,1.14,0.4,0.78,2.31
Arizona,AZ,2015,1.16,0.4,0.78,2.34
Arizona,AZ,2014,1.18,0.4,0.79,2.37
Arizona,AZ,2013,1.13,0.42,0.81,2.36
Arizona,AZ,2012,1.14,0.45,0.84,2.43
Arizona,AZ,2011,1.15,0.44,0.8,2.39
Arizona,AZ,2010,1.23,0.41,0.76,2.39
Arizona,AZ,2009,1.22,0.39,0.77,2.38
Arizona,AZ,2008,1.3,0.41,0.77,2.48
Arizona,AZ,2007,1.39,0.34,0.78,2.51
Arizona,AZ,2006,1.34,0.38,0.79,2.51
Arizona,AZ,2005,1.35,0.4,0.76,2.51
Arizona,AZ,2004,1.4,0.34,0.71,2.44
Arizona,AZ,2003,1.41,0.37,0.71,2.49
Arizona,AZ,2002,1.46,0.33,0.69,2.48
Arizona,AZ,2001,1.47,0.33,0.7,2.5
Arizona,AZ,2000,1.48,0.31,0.71,2.5
Arizona,AZ,1999,1.47,0.34,0.69,2.51
Arizona,AZ,1998,1.44,0.33,0.68,2.45
Arizona,AZ,1997,1.45,0.31,0.68,2.44
Arizona,AZ,1996,1.52,0.33,0.73,2.58
Arizona,AZ,1995,1.47,0.29,0.68,2.44
Arizona,AZ,1994,1.52,0.29,0.7,2.5
Arizona,AZ,1993,1.58,0.27,0.76,2.62
Arizona,AZ,1992,1.58,0.31,0.8,2.69
Arizona,AZ,1991,1.58,0.35,0.78,2.71
Arizona,AZ,1990,1.59,0.37,0.8,2.77
Arizona,AZ,1989,1.63,0.35,0.83,2.81
Arizona,AZ,1988,1.6,0.41,0.86,2.87
Arizona,AZ,1987,1.64,0.45,0.84,2.93
Arizona,AZ,1986,1.74,0.45,0.9,3.09
Arizona,AZ,1985,1.66,0.45,0.99,3.11
Arizona,AZ,1984,1.55,0.44,1.05,3.04
Arizona,AZ,1983,1.6,0.43,0.99,3.02
Arizona,AZ,1982,1.71,0.39,0.98,3.07
Arizona,AZ,1981,1.76,0.42,1,3.18
Arizona,AZ,1980,1.68,0.36,0.97,3.01
Arizona,AZ,1979,1.71,0.36,1.07,3.15
Arizona,AZ,1978,1.66,0.35,1.03,3.04
Arizona,AZ,1977,1.6,0.32,0.99,2.92
Arkansas,AR,2016,0.93,0.22,0.65,1.8
Arkansas,AR,2015,0.97,0.22,0.65,1.83
Arkansas,AR,2014,0.96,0.21,0.62,1.79
Arkansas,AR,2013,1,0.2,0.6,1.81
Arkansas,AR,2012,1,0.2,0.6,1.81
Arkansas,AR,2011,0.98,0.18,0.56,1.72
Arkansas,AR,2010,1.02,0.19,0.57,1.77
Arkansas,AR,2009,1.03,0.17,0.57,1.78
Arkansas,AR,2008,1.05,0.17,0.55,1.77
Arkansas,AR,2007,1.02,0.15,0.51,1.69
Arkansas,AR,2006,1.05,0.16,0.54,1.75
Arkansas,AR,2005,1.03,0.15,0.5,1.67
Arkansas,AR,2004,1.04,0.15,0.49,1.68
Arkansas,AR,2003,1.06,0.14,0.56,1.77
Arkansas,AR,2002,1.09,0.14,0.53,1.75
Arkansas,AR,2001,1.08,0.13,0.53,1.74
Arkansas,AR,2000,1.09,0.12,0.53,1.74
Arkansas,AR,1999,1.09,0.12,0.54,1.75
Arkansas,AR,1998,1.1,0.11,0.51,1.73
Arkansas,AR,1997,1.07,0.12,0.52,1.71
Arkansas,AR,1996,1.07,0.12,0.53,1.72
Arkansas,AR,1995,1.06,0.11,0.51,1.68
Arkansas,AR,1994,1.06,0.13,0.46,1.65
Arkansas,AR,1993,1.1,0.11,0.58,1.79
Arkansas,AR,1992,1.13,0.12,0.65,1.9
Arkansas,AR,1991,1.12,0.11,0.58,1.81
Arkansas,AR,1990,1.12,0.13,0.61,1.86
Arkansas,AR,1989,1.1,0.13,0.58,1.82
Arkansas,AR,1988,1.09,0.14,0.54,1.78
Arkansas,AR,1987,1.09,0.11,0.53,1.74
Arkansas,AR,1986,1.08,0.09,0.49,1.65
Arkansas,AR,1985,1.04,0.13,0.59,1.77
Arkansas,AR,1984,1.03,0.12,0.64,1.8
Arkansas,AR,1983,1.03,0.13,0.63,1.79
Arkansas,AR,1982,1.03,0.12,0.63,1.78
Arkansas,AR,1981,1.06,0.12,0.68,1.86
Arkansas,AR,1980,1,0.12,0.68,1.81
Arkansas,AR,1979,0.9,0.09,0.55,1.54
Arkansas,AR,1978,0.95,0.11,0.71,1.76
Arkansas,AR,1977,0.89,0.1,0.61,1.61
California,CA,2016,0.96,0.59,0.78,2.33
California,CA,2015,0.99,0.53,0.75,2.28
California,CA,2014,1,0.6,0.73,2.32
California,CA,2013,0.98,0.6,0.75,2.33
California,CA,2012,0.98,0.63,0.74,2.35
California,CA,2011,0.95,0.58,0.72,2.25
California,CA,2010,0.97,0.49,0.71,2.16
California,CA,2009,1.01,0.57,0.7,2.28
California,CA,2008,1.05,0.55,0.7,2.3
California,CA,2007,1.06,0.54,0.7,2.3
California,CA,2006,1.02,0.56,0.7,2.29
California,CA,2005,1.03,0.54,0.69,2.26
California,CA,2004,1.07,0.52,0.67,2.25
California,CA,2003,1.07,0.51,0.65,2.23
California,CA,2002,1.08,0.49,0.64,2.21
California,CA,2001,1.09,0.48,0.63,2.2
California,CA,2000,1.12,0.48,0.64,2.24
California,CA,1999,1.12,0.48,0.62,2.22
California,CA,1998,1.11,0.49,0.61,2.21
California,CA,1997,1.14,0.52,0.62,2.28
California,CA,1996,1.13,0.5,0.64,2.27
California,CA,1995,1.15,0.46,0.63,2.24
California,CA,1994,1.09,0.47,0.68,2.24
California,CA,1993,1.17,0.48,0.69,2.35
California,CA,1992,1.28,0.51,0.75,2.54
California,CA,1991,1.22,0.49,0.75,2.46
California,CA,1990,1.32,0.59,0.87,2.78
California,CA,1989,1.29,0.6,0.85,2.75
California,CA,1988,1.32,0.67,0.88,2.86
California,CA,1987,1.35,0.73,0.92,3
California,CA,1986,1.35,0.78,0.95,3.08
California,CA,1985,1.32,0.78,1.02,3.11
California,CA,1984,1.37,0.73,1.06,3.16
California,CA,1983,1.36,0.74,1.1,3.21
California,CA,1982,1.37,0.72,1.13,3.22
California,CA,1981,1.43,0.72,1.2,3.35
California,CA,1980,1.41,0.71,1.24,3.36
California,CA,1979,1.39,0.68,1.25,3.32
California,CA,1978,1.33,0.67,1.29,3.28
California,CA,1977,1.29,0.65,1.25,3.19
Colorado,CO,2016,1.14,0.51,1.16,2.81
Colorado,CO,2015,1.12,0.51,1.14,2.77
Colorado,CO,2014,1.14,0.51,1.11,2.77
Colorado,CO,2013,1.2,0.5,1.11,2.81
Colorado,CO,2012,1.15,0.52,1.08,2.76
Colorado,CO,2011,1.2,0.49,1.04,2.73
Colorado,CO,2010,1.22,0.48,1.01,2.71
Colorado,CO,2009,1.23,0.46,1.01,2.7
Colorado,CO,2008,1.28,0.47,1.02,2.77
Colorado,CO,2007,1.3,0.47,1.01,2.78
Colorado,CO,2006,1.29,0.45,0.98,2.72
Colorado,CO,2005,1.31,0.42,0.99,2.72
Colorado,CO,2004,1.3,0.43,0.95,2.68
Colorado,CO,2003,1.33,0.4,0.87,2.6
Colorado,CO,2002,1.35,0.39,0.9,2.64
Colorado,CO,2001,1.42,0.41,0.96,2.78
Colorado,CO,2000,1.35,0.37,0.89,2.6
Colorado,CO,1999,1.33,0.37,0.75,2.45
Colorado,CO,1998,1.33,0.37,0.83,2.53
Colorado,CO,1997,1.3,0.37,0.81,2.48
Colorado,CO,1996,1.36,0.37,0.84,2.57
Colorado,CO,1995,1.34,0.35,0.78,2.47
Colorado,CO,1994,1.36,0.35,0.84,2.55
Colorado,CO,1993,1.4,0.36,0.86,2.63
Colorado,CO,1992,1.34,0.36,0.81,2.52
Colorado,CO,1991,1.39,0.35,0.87,2.61
Colorado,CO,1990,1.35,0.29,0.75,2.39
Colorado,CO,1989,1.42,0.38,0.85,2.64
Colorado,CO,1988,1.44,0.4,0.92,2.76
Colorado,CO,1987,1.45,0.45,0.94,2.84
Colorado,CO,1986,1.49,0.47,0.95,2.9
Colorado,CO,1985,1.48,0.5,1.18,3.17
Colorado,CO,1984,1.51,0.46,1.12,3.1
Colorado,CO,1983,1.57,0.46,1.12,3.15
Colorado,CO,1982,1.63,0.46,1.17,3.26
Colorado,CO,1981,1.62,0.44,1.26,3.32
Colorado,CO,1980,1.56,0.46,1.31,3.33
Colorado,CO,1979,1.63,0.46,1.33,3.42
Colorado,CO,1978,1.6,0.46,1.39,3.46
Colorado,CO,1977,1.4,0.36,1.19,2.95
Connecticut,CT,2016,0.85,0.62,0.98,2.45
Connecticut,CT,2015,0.85,0.61,0.95,2.41
Connecticut,CT,2014,0.84,0.6,0.92,2.37
Connecticut,CT,2013,0.85,0.61,0.91,2.37
Connecticut,CT,2012,0.86,0.61,0.91,2.39
Connecticut,CT,2011,0.86,0.62,0.88,2.35
Connecticut,CT,2010,0.88,0.6,0.87,2.35
Connecticut,CT,2009,0.88,0.59,0.85,2.31
Connecticut,CT,2008,0.93,0.58,0.85,2.36
Connecticut,CT,2007,0.92,0.57,0.84,2.33
Connecticut,CT,2006,0.93,0.56,0.81,2.3
Connecticut,CT,2005,0.9,0.54,0.79,2.23
Connecticut,CT,2004,0.93,0.53,0.79,2.25
Connecticut,CT,2003,0.93,0.52,0.78,2.23
Connecticut,CT,2002,0.95,0.5,0.75,2.21
Connecticut,CT,2001,0.95,0.5,0.74,2.19
Connecticut,CT,2000,0.94,0.49,0.74,2.18
Connecticut,CT,1999,0.94,0.49,0.75,2.18
Connecticut,CT,1998,0.96,0.49,0.76,2.21
Connecticut,CT,1997,0.95,0.48,0.74,2.17
Connecticut,CT,1996,0.91,0.46,0.72,2.09
Connecticut,CT,1995,0.96,0.46,0.78,2.2
Connecticut,CT,1994,0.99,0.43,0.78,2.2
Connecticut,CT,1993,0.96,0.44,0.8,2.2
Connecticut,CT,1992,1.01,0.45,0.83,2.3
Connecticut,CT,1991,1.03,0.43,0.84,2.29
Connecticut,CT,1990,1.09,0.45,0.92,2.46
Connecticut,CT,1989,1.07,0.46,0.96,2.5
Connecticut,CT,1988,1.12,0.5,1.05,2.67
Connecticut,CT,1987,1.14,0.51,1.1,2.75
Connecticut,CT,1986,1.11,0.51,1.14,2.76
Connecticut,CT,1985,1.12,0.5,1.19,2.81
Connecticut,CT,1984,1.1,0.49,1.19,2.78
Connecticut,CT,1983,1.1,0.49,1.22,2.8
Connecticut,CT,1982,1.04,0.49,1.21,2.74
Connecticut,CT,1981,1.05,0.44,1.18,2.67
Connecticut,CT,1980,1.06,0.43,1.2,2.69
Connecticut,CT,1979,1.14,0.4,1.21,2.76
Connecticut,CT,1978,1.09,0.38,1.21,2.69
Connecticut,CT,1977,1.06,0.35,1.23,2.64
Delaware,DE,2016,1.2,0.73,1.79,3.72
Delaware,DE,2015,1.18,0.72,1.74,3.65
Delaware,DE,2014,1.21,0.72,1.66,3.59
Delaware,DE,2013,1.25,0.72,1.63,3.59
Delaware,DE,2012,1.32,0.69,1.58,3.59
Delaware,DE,2011,1.34,0.69,1.52,3.55
Delaware,DE,2010,1.36,0.66,1.36,3.38
Delaware,DE,2009,1.32,0.65,1.34,3.31
Delaware,DE,2008,1.35,0.57,1.23,3.15
Delaware,DE,2007,1.38,0.59,1.23,3.19
Delaware,DE,2006,1.41,0.59,1.26,3.26
Delaware,DE,2005,1.42,0.58,1.24,3.25
Delaware,DE,2004,1.42,0.57,1.28,3.27
Delaware,DE,2003,1.38,0.57,1.18,3.12
Delaware,DE,2002,1.39,0.52,1.1,3.01
Delaware,DE,2001,1.39,0.49,1.07,2.94
Delaware,DE,2000,1.36,0.48,1.05,2.89
Delaware,DE,1999,1.4,0.48,1.03,2.9
Delaware,DE,1998,1.41,0.47,1.03,2.91
Delaware,DE,1997,1.37,0.46,0.99,2.81
Delaware,DE,1996,1.39,0.45,0.94,2.78
Delaware,DE,1995,1.3,0.4,0.92,2.62
Delaware,DE,1994,1.43,0.38,0.95,2.76
Delaware,DE,1993,1.46,0.35,0.95,2.76
Delaware,DE,1992,1.4,0.36,0.97,2.73
Delaware,DE,1991,1.4,0.35,0.95,2.7
Delaware,DE,1990,1.44,0.37,1.14,2.95
Delaware,DE,1989,1.43,0.39,1.15,2.96
Delaware,DE,1988,1.46,0.41,1.21,3.08
Delaware,DE,1987,1.46,0.43,1.23,3.12
Delaware,DE,1986,1.46,0.45,1.25,3.16
Delaware,DE,1985,1.48,0.41,1.31,3.2
Delaware,DE,1984,1.52,0.39,1.29,3.2
Delaware,DE,1983,1.55,0.35,1.35,3.25
Delaware,DE,1982,1.54,0.34,1.38,3.26
Delaware,DE,1981,1.52,0.33,1.4,3.24
Delaware,DE,1980,1.44,0.29,1.37,3.11
Delaware,DE,1979,1.35,0.26,1.31,2.92
Delaware,DE,1978,1.31,0.24,1.3,2.85
Delaware,DE,1977,1.3,0.23,1.33,2.86
District of Columbia,DC,2016,1.13,1.03,1.69,3.85
District of Columbia,DC,2015,1.15,1.02,1.68,3.85
District of Columbia,DC,2014,1.16,1.01,1.68,3.84
District of Columbia,DC,2013,1.17,1.01,1.66,3.84
District of Columbia,DC,2012,1.18,1.01,1.65,3.85
District of Columbia,DC,2011,1.19,1.01,1.62,3.82
District of Columbia,DC,2010,1.22,1,1.61,3.83
District of Columbia,DC,2009,1.26,1,1.62,3.88
District of Columbia,DC,2008,1.35,1.01,1.64,4
District of Columbia,DC,2007,1.37,1,1.63,4
District of Columbia,DC,2006,1.38,0.96,1.6,3.94
District of Columbia,DC,2005,1.4,0.93,1.56,3.9
District of Columbia,DC,2004,1.38,0.91,1.52,3.8
District of Columbia,DC,2003,1.38,0.88,1.51,3.76
District of Columbia,DC,2002,1.36,0.83,1.47,3.66
District of Columbia,DC,2001,1.36,0.79,1.46,3.61
District of Columbia,DC,2000,1.39,0.81,1.45,3.65
District of Columbia,DC,1999,1.38,0.78,1.36,3.52
District of Columbia,DC,1998,1.37,0.78,1.57,3.73
District of Columbia,DC,1997,1.42,0.8,1.61,3.83
District of Columbia,DC,1996,1.34,0.87,1.47,3.67
District of Columbia,DC,1995,1.49,0.77,1.52,3.79
District of Columbia,DC,1994,1.5,0.74,1.52,3.76
District of Columbia,DC,1993,1.51,0.73,1.54,3.78
District of Columbia,DC,1992,1.61,0.7,1.74,4.05
District of Columbia,DC,1991,1.42,0.61,1.85,3.89
District of Columbia,DC,1990,1.42,0.76,1.96,4.14
District of Columbia,DC,1989,1.39,0.82,1.72,3.92
District of Columbia,DC,1988,1.38,0.93,1.9,4.22
District of Columbia,DC,1987,1.41,0.95,2.26,4.62
District of Columbia,DC,1986,1.45,1,2.09,4.54
District of Columbia,DC,1985,1.44,1,2.35,4.8
District of Columbia,DC,1984,1.51,1.07,2.59,5.17
District of Columbia,DC,1983,1.51,1.05,2.71,5.27
District of Columbia,DC,1982,1.46,0.99,2.88,5.33
District of Columbia,DC,1981,1.48,1.05,2.89,5.42
District of Columbia,DC,1980,1.49,0.99,2.94,5.41
District of Columbia,DC,1979,1.42,0.96,2.92,5.3
District of Columbia,DC,1978,1.38,0.91,3.04,5.33
District of Columbia,DC,1977,1.35,0.86,3.16,5.37
Florida,FL,2016,1.09,0.53,1.03,2.65
Florida,FL,2015,1.11,0.51,0.98,2.6
Florida,FL,2014,1.09,0.51,0.98,2.59
Florida,FL,2013,1.28,0.49,0.95,2.72
Florida,FL,2012,1.26,0.51,0.95,2.72
Florida,FL,2011,1.13,0.49,0.93,2.54
Florida,FL,2010,1.12,0.47,0.91,2.5
Florida,FL,2009,1.19,0.48,0.91,2.58
Florida,FL,2008,1.24,0.48,0.89,2.61
Florida,FL,2007,1.28,0.48,0.92,2.68
Florida,FL,2006,1.32,0.47,0.91,2.7
Florida,FL,2005,1.33,0.46,0.91,2.7
Florida,FL,2004,1.34,0.46,0.88,2.68
Florida,FL,2003,1.31,0.44,0.86,2.61
Florida,FL,2002,1.32,0.43,0.84,2.58
Florida,FL,2001,1.32,0.4,0.82,2.54
Florida,FL,2000,1.32,0.41,0.83,2.56
Florida,FL,1999,1.33,0.4,0.8,2.53
Florida,FL,1998,1.33,0.38,0.79,2.5
Florida,FL,1997,1.36,0.37,0.8,2.53
Florida,FL,1996,1.36,0.37,0.81,2.54
Florida,FL,1995,1.34,0.35,0.82,2.5
Florida,FL,1994,1.4,0.33,0.87,2.6
Florida,FL,1993,1.44,0.33,0.92,2.68
Florida,FL,1992,1.45,0.34,0.96,2.75
Florida,FL,1991,1.43,0.34,0.92,2.69
Florida,FL,1990,1.54,0.39,1.04,2.96
Florida,FL,1989,1.51,0.39,1,2.89
Florida,FL,1988,1.5,0.41,1,2.91
Florida,FL,1987,1.5,0.42,1.03,2.95
Florida,FL,1986,1.5,0.41,1.05,2.96
Florida,FL,1985,1.47,0.41,1.16,3.04
Florida,FL,1984,1.46,0.4,1.23,3.09
Florida,FL,1983,1.55,0.39,1.22,3.16
Florida,FL,1982,1.54,0.4,1.32,3.26
Florida,FL,1981,1.54,0.39,1.37,3.3
Florida,FL,1980,1.4,0.37,1.41,3.18
Florida,FL,1979,1.38,0.34,1.41,3.14
Florida,FL,1978,1.34,0.32,1.4,3.07
Florida,FL,1977,1.27,0.31,1.4,2.99
Georgia,GA,2016,0.99,0.25,0.69,1.94
Georgia,GA,2015,1.01,0.25,0.68,1.94
Georgia,GA,2014,1.02,0.25,0.69,1.96
Georgia,GA,2013,1.03,0.25,0.69,1.97
Georgia,GA,2012,1.05,0.25,0.68,1.98
Georgia,GA,2011,1.06,0.25,0.67,1.98
Georgia,GA,2010,1.08,0.25,0.65,1.98
Georgia,GA,2009,1.11,0.25,0.65,2.01
Georgia,GA,2008,1.16,0.25,0.65,2.06
Georgia,GA,2007,1.19,0.26,0.65,2.1
Georgia,GA,2006,1.19,0.26,0.65,2.1
Georgia,GA,2005,1.17,0.26,0.64,2.07
Georgia,GA,2004,1.19,0.27,0.65,2.11
Georgia,GA,2003,1.2,0.26,0.66,2.13
Georgia,GA,2002,1.21,0.26,0.66,2.13
Georgia,GA,2001,1.2,0.25,0.65,2.11
Georgia,GA,2000,1.21,0.25,0.69,2.16
Georgia,GA,1999,1.23,0.25,0.7,2.18
Georgia,GA,1998,1.22,0.23,0.7,2.15
Georgia,GA,1997,1.2,0.23,0.7,2.13
Georgia,GA,1996,1.24,0.24,0.71,2.18
Georgia,GA,1995,1.21,0.21,0.7,2.12
Georgia,GA,1994,1.17,0.21,0.77,2.14
Georgia,GA,1993,1.23,0.2,0.77,2.2
Georgia,GA,1992,1.22,0.21,0.79,2.23
Georgia,GA,1991,1.16,0.22,0.78,2.17
Georgia,GA,1990,1.22,0.23,0.86,2.31
Georgia,GA,1989,1.18,0.24,0.94,2.36
Georgia,GA,1988,1.21,0.26,0.92,2.39
Georgia,GA,1987,1.21,0.27,1,2.48
Georgia,GA,1986,1.21,0.27,0.94,2.43
Georgia,GA,1985,1.17,0.25,1.01,2.44
Georgia,GA,1984,1.18,0.24,1.06,2.48
Georgia,GA,1983,1.14,0.22,1.06,2.42
Georgia,GA,1982,1.12,0.21,1.04,2.36
Georgia,GA,1981,1.1,0.18,1.09,2.38
Georgia,GA,1980,1.06,0.19,1.08,2.33
Georgia,GA,1979,1.11,0.18,1.16,2.44
Georgia,GA,1978,1.09,0.18,1.21,2.48
Georgia,GA,1977,1.03,0.15,1.19,2.37
Hawaii,HI,2016,1.29,0.57,0.77,2.63
Hawaii,HI,2015,1.28,0.56,0.77,2.6
Hawaii,HI,2014,1.27,0.54,0.77,2.59
Hawaii,HI,2013,1.25,0.54,0.77,2.56
Hawaii,HI,2012,1.26,0.53,0.75,2.54
Hawaii,HI,2011,1.25,0.53,0.73,2.52
Hawaii,HI,2010,1.25,0.52,0.71,2.48
Hawaii,HI,2009,1.27,0.51,0.71,2.49
Hawaii,HI,2008,1.33,0.51,0.72,2.56
Hawaii,HI,2007,1.3,0.48,0.77,2.55
Hawaii,HI,2006,1.28,0.47,0.77,2.52
Hawaii,HI,2005,1.3,0.45,0.72,2.47
Hawaii,HI,2004,1.38,0.43,0.7,2.5
Hawaii,HI,2003,1.3,0.42,0.66,2.38
Hawaii,HI,2002,1.27,0.39,0.62,2.28
Hawaii,HI,2001,1.3,0.38,0.6,2.28
Hawaii,HI,2000,1.33,0.39,0.6,2.32
Hawaii,HI,1999,1.31,0.39,0.56,2.26
Hawaii,HI,1998,1.32,0.37,0.54,2.22
Hawaii,HI,1997,1.38,0.4,0.56,2.33
Hawaii,HI,1996,1.4,0.36,0.58,2.34
Hawaii,HI,1995,1.41,0.34,0.57,2.32
Hawaii,HI,1994,1.46,0.38,0.62,2.46
Hawaii,HI,1993,1.49,0.37,0.65,2.51
Hawaii,HI,1992,1.55,0.39,0.69,2.63
Hawaii,HI,1991,1.57,0.4,0.7,2.67
Hawaii,HI,1990,1.64,0.4,0.79,2.84
Hawaii,HI,1989,1.56,0.43,0.8,2.79
Hawaii,HI,1988,1.64,0.45,0.8,2.89
Hawaii,HI,1987,1.59,0.41,0.77,2.76
Hawaii,HI,1986,1.61,0.44,0.86,2.91
Hawaii,HI,1985,1.61,0.42,0.88,2.91
Hawaii,HI,1984,1.66,0.41,0.92,2.99
Hawaii,HI,1983,1.89,0.44,1.13,3.45
Hawaii,HI,1982,1.8,0.48,1.14,3.41
Hawaii,HI,1981,1.74,0.44,1.16,3.34
Hawaii,HI,1980,1.64,0.46,1.2,3.3
Hawaii,HI,1979,1.51,0.42,1.21,3.14
Hawaii,HI,1978,1.33,0.44,1.25,3.02
Hawaii,HI,1977,1.55,0.35,1.21,3.11
Idaho,ID,2016,0.92,1.19,0.81,2.92
Idaho,ID,2015,0.93,1.14,0.79,2.87
Idaho,ID,2014,0.93,1.12,0.77,2.82
Idaho,ID,2013,0.96,1.08,0.77,2.81
Idaho,ID,2012,0.98,1.02,0.77,2.77
Idaho,ID,2011,1,0.92,0.73,2.65
Idaho,ID,2010,1.06,0.9,0.72,2.68
Idaho,ID,2009,1.05,0.91,0.7,2.67
Idaho,ID,2008,1.15,0.81,0.69,2.64
Idaho,ID,2007,1.17,0.73,0.67,2.58
Idaho,ID,2006,1.14,0.74,0.65,2.53
Idaho,ID,2005,1.11,0.74,0.61,2.45
Idaho,ID,2004,1.14,0.72,0.57,2.43
Idaho,ID,2003,1.15,0.65,0.55,2.35
Idaho,ID,2002,1.16,0.64,0.53,2.33
Idaho,ID,2001,1.14,0.63,0.53,2.3
Idaho,ID,2000,1.13,0.65,0.52,2.3
Idaho,ID,1999,1.09,0.68,0.52,2.29
Idaho,ID,1998,1.15,0.33,0.51,1.99
Idaho,ID,1997,1.11,0.32,0.52,1.95
Idaho,ID,1996,1.13,0.3,0.52,1.96
Idaho,ID,1995,1.18,0.3,0.54,2.01
Idaho,ID,1994,1.24,0.35,0.53,2.12
Idaho,ID,1993,1.26,0.29,0.55,2.11
Idaho,ID,1992,1.32,0.31,0.57,2.2
Idaho,ID,1991,1.31,0.32,0.56,2.19
Idaho,ID,1990,1.36,0.33,0.58,2.27
Idaho,ID,1989,1.27,0.31,0.57,2.16
Idaho,ID,1988,1.28,0.37,0.59,2.24
Idaho,ID,1987,1.33,0.39,0.59,2.31
Idaho,ID,1986,1.36,0.39,0.62,2.37
Idaho,ID,1985,1.36,0.36,0.71,2.43
